               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.068673,           0.0065318,                   0,             0.77476,             0.77819,             0.78889,              0.3321,             0.07598,           0.0066394,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.068304,           0.0064985,                   0,             0.77639,             0.77972,             0.79069,             0.33326,            0.075955,            0.006639,                   0,             0.00769,             0.00769,             0.00769
                  72,              0.0679,           0.0064761,                   0,             0.77788,             0.78122,             0.79212,             0.33381,            0.075921,           0.0066343,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.067459,           0.0064329,                   0,             0.77802,             0.78149,             0.79223,             0.33409,            0.075884,           0.0066294,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.067283,           0.0064278,                   0,             0.77781,             0.78138,             0.79237,             0.33333,            0.075982,           0.0066239,                   0,            0.007591,            0.007591,            0.007591
                  75,             0.06749,           0.0064518,                   0,             0.77896,             0.78253,             0.79331,              0.3329,            0.075951,            0.006621,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.067445,           0.0064188,                   0,             0.78037,             0.78417,             0.79518,             0.33323,            0.075907,            0.006617,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.067393,           0.0064327,                   0,             0.77977,             0.78356,             0.79463,             0.33406,            0.075825,           0.0066129,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.067543,           0.0064402,                   0,             0.78174,             0.78578,              0.7965,             0.33549,            0.075753,           0.0066099,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.067246,           0.0064779,                   0,             0.77901,             0.78312,             0.79391,             0.33504,            0.075687,           0.0066047,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.067712,           0.0064608,                   0,             0.77792,             0.78213,             0.79304,               0.335,            0.075637,           0.0066032,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.067312,           0.0064098,                   0,             0.77815,             0.78291,             0.79307,             0.33518,             0.07559,           0.0065985,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.066852,           0.0064326,                   0,             0.78005,             0.78471,             0.79477,             0.33582,            0.075551,           0.0065934,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.066621,           0.0063896,                   0,             0.78039,             0.78502,             0.79521,             0.33626,            0.075529,           0.0065904,                   0,            0.007294,            0.007294,            0.007294
                  84,              0.0669,           0.0064566,                   0,             0.77939,             0.78356,             0.79475,              0.3364,            0.075519,           0.0065852,                   0,            0.007261,            0.007261,            0.007261
